Number,bayGate,bayBith,sellGate,sellBith,diffSell,diffBay,timeServer,timeGate,timeBith,percentBonus,bayOrSellGate,bayOrSellBith,init
202,1.0615227,1.06753853,1.06619814,1.07666415,0.00134039,-0.01514145,1633664148860,1633664148632,1633664148441,0.0013,2,0,1
203,1.06150274,1.06753853,1.06619814,1.07666415,0.00134039,-0.01516141,1633664149256,1633664149052,1633664148441,0.0013,1,0,1
204,1.06153268,1.06753853,1.06619814,1.07666415,0.00134039,-0.01513147,1633664150064,1633664149845,1633664148441,0.0013,1,0,1
205,1.06153268,1.06753853,1.06620816,1.07666415,0.00133037,-0.01513147,1633664150152,1633664149860,1633664148441,0.0012,0,0,1
206,1.06154266,1.06753853,1.06620816,1.07666415,0.00133037,-0.01512149,1633664150372,1633664150145,1633664148441,0.0012,1,0,1
207,1.06154266,1.06753853,1.06633842,1.07666415,0.00120011,-0.01512149,1633664150470,1633664150248,1633664148441,0.0011,0,0,1
208,1.06168238,1.06753853,1.0663284,1.07666415,0.00121013,-0.01498177,1633664150561,1633664150302,1633664148441,0.0011,2,0,1
209,1.06174226,1.06753853,1.0663785,1.07666415,0.00116003,-0.01492189,1633664151574,1633664151363,1633664148441,0.0011,2,0,1
210,1.06175224,1.06753853,1.0663785,1.07666415,0.00116003,-0.01491191,1633664152651,1633664152453,1633664151655,0.0011,1,0,1
211,1.06175224,1.06753853,1.06649874,1.07666415,0.00103979,-0.01491191,1633664153455,1633664153238,1633664151655,0.001,0,0,1
212,1.06175224,1.06753853,1.06633842,1.07666415,0.00120011,-0.01491191,1633664155280,1633664155053,1633664151655,0.0011,0,0,1
213,1.06175224,1.06753853,1.06625826,1.07666415,0.00128027,-0.01491191,1633664155410,1633664155153,1633664151655,0.0012,0,0,1
214,1.06175224,1.06753853,1.06625826,1.07664412,0.00128027,-0.01489188,1633664155449,1633664155153,1633664155322,0.0012,0,0,0
215,1.06174226,1.06753853,1.06630836,1.07664412,0.00123017,-0.01490186,1633664155473,1633664155255,1633664155322,0.0012,2,0,1
216,1.06174226,1.06753853,1.06626828,1.07664412,0.00127025,-0.01490186,1633664155561,1633664155353,1633664155322,0.0012,0,0,1
217,1.06164246,1.06753853,1.06625826,1.07664412,0.00128027,-0.01500166,1633664157553,1633664157353,1633664155859,0.0012,2,0,1
218,1.06164246,1.06753853,1.06625826,1.07663411,0.00128027,-0.01499165,1633664157784,1633664157353,1633664157659,0.0012,2,0,0
219,1.06164246,1.06753853,1.06621818,1.07663411,0.00132035,-0.01499165,1633664158736,1633664158531,1633664157659,0.0012,0,0,1
220,1.06164246,1.06753853,1.06618812,1.07663411,0.00135041,-0.01499165,1633664158848,1633664158651,1633664157659,0.0013,0,0,1
221,1.0616225,1.06753853,1.06618812,1.07663411,0.00135041,-0.01501161,1633664159867,1633664159647,1633664157659,0.0013,1,0,1
222,1.0614728,1.06753853,1.06605786,1.07663411,0.00148067,-0.01516131,1633664159960,1633664159751,1633664157659,0.0014,2,0,1
223,1.0614728,1.06753853,1.06603782,1.07663411,0.00150071,-0.01516131,1633664160059,1633664159852,1633664157659,0.0014,0,0,1
224,1.0614728,1.06753853,1.06588752,1.07663411,0.00165101,-0.01516131,1633664160166,1633664159929,1633664157659,0.0015,0,0,1
225,1.0614728,1.06753853,1.0658274,1.07663411,0.00171113,-0.01516131,1633664160269,1633664160057,1633664157659,0.0016,0,0,1
226,1.0614728,1.06753853,1.06574724,1.07663411,0.00179129,-0.01516131,1633664160383,1633664160143,1633664157659,0.0017,0,0,1
227,1.06148278,1.06753853,1.06574724,1.07663411,0.00179129,-0.01515133,1633664160456,1633664160258,1633664157659,0.0017,1,0,1
228,1.06148278,1.06752855,1.06574724,1.07663411,0.00178131,-0.01515133,1633664162000,1633664160258,1633664161874,0.0017,1,1,0
229,1.06148278,1.06752855,1.06580736,1.07663411,0.00172119,-0.01515133,1633664163448,1633664163254,1633664162461,0.0016,0,1,1
230,1.06148278,1.06752855,1.06598772,1.07663411,0.00154083,-0.01515133,1633664164528,1633664164316,1633664163359,0.0014,0,1,1
231,1.06148278,1.06752855,1.06598672,1.07663411,0.00154183,-0.01515133,1633664165167,1633664164956,1633664163359,0.0014,0,1,1
232,1.06148278,1.06752855,1.06598772,1.07663411,0.00154083,-0.01515133,1633664165280,1633664164990,1633664163359,0.0014,0,1,1
233,1.06160254,1.06752855,1.06606788,1.07663411,0.00146067,-0.01503157,1633664168805,1633664168530,1633664163359,0.0014,2,1,1
234,1.06159256,1.06752855,1.06606788,1.07663411,0.00146067,-0.01504155,1633664170758,1633664170530,1633664163359,0.0014,1,1,1
235,1.06160254,1.06752855,1.06606788,1.07663411,0.00146067,-0.01503157,1633664170958,1633664170721,1633664163359,0.0014,1,1,1
236,1.06160254,1.06752855,1.06621818,1.07663411,0.00131037,-0.01503157,1633664171358,1633664171150,1633664171071,0.0012,0,1,1
237,1.06160254,1.06752855,1.06613802,1.07663411,0.00139053,-0.01503157,1633664171461,1633664171241,1633664171071,0.0013,0,1,1
238,1.06160254,1.06752855,1.06615806,1.07663411,0.00137049,-0.01503157,1633664172049,1633664171842,1633664171071,0.0013,0,1,1
239,1.06160254,1.06752855,1.06623822,1.07663411,0.00129033,-0.01503157,1633664175563,1633664175348,1633664171071,0.0012,0,1,1
240,1.06150274,1.06752855,1.06613802,1.07663411,0.00139053,-0.01513137,1633664176604,1633664176065,1633664171071,0.0013,2,1,1
241,1.06150274,1.06752855,1.066128,1.07663411,0.00140055,-0.01513137,1633664181254,1633664181023,1633664171071,0.0013,0,1,1
242,1.06150274,1.06752855,1.06611798,1.07663411,0.00141057,-0.01513137,1633664182447,1633664182187,1633664171071,0.0013,0,1,1
243,1.06169236,1.06752855,1.06608792,1.07663411,0.00144063,-0.01494175,1633664184853,1633664184644,1633664184279,0.0014,2,1,1
244,1.06169236,1.06752855,1.06604784,1.07663411,0.00148071,-0.01494175,1633664184961,1633664184742,1633664184830,0.0014,0,1,1
245,1.06169236,1.06752855,1.06605786,1.07663411,0.00147069,-0.01494175,1633664185054,1633664184850,1633664184830,0.0014,0,1,1
246,1.06169236,1.06752855,1.06608792,1.07663411,0.00144063,-0.01494175,1633664185160,1633664184903,1633664184830,0.0014,0,1,1
247,1.06105364,1.0663606,1.06533642,1.07032624,0.00102418,-0.0092726,1633664202655,1633664202453,1633664197049,0.001,0,0,1
248,1.06105364,1.0663606,1.06531638,1.07032624,0.00104422,-0.0092726,1633664203955,1633664203736,1633664197049,0.001,0,0,1
249,1.0642672,1.07086271,1.06854282,1.0753425,0.00231989,-0.0110753,1633672279579,1633672276446,1633672279478,0.0022,2,1,0
250,1.0644169,1.07026376,1.0687332,1.07395076,0.00153055,-0.00953386,1633673070987,1633673069765,1633673070890,0.0014,1,1,0
