Number,buyGate,buyBith,sellGate,sellBith,diffSell,diffBuy,timeServer,timeGate,timeBith,percentBonus,buyOrSellGate,buyOrSellBith,init
1002,1.13909724,1.09446133,1.14404352,1.11091691,-0.04958219,0.02818033,1634188653318,1634188653064,1634188652745,0.0254,1,1,1
1003,1.1390673,1.09446133,1.14404352,1.11091691,-0.04958219,0.02815039,1634188653618,1634188653359,1634188652745,0.0253,1,1,1
1004,1.13909724,1.09446133,1.14404352,1.11091691,-0.04958219,0.02818033,1634188653711,1634188653469,1634188653570,0.0254,1,1,1
1005,1.1390673,1.09446133,1.14394332,1.11091691,-0.04948199,0.02815039,1634188653918,1634188653669,1634188653570,0.0253,2,1,1
1006,1.1390673,1.09446133,1.14404352,1.11091691,-0.04958219,0.02815039,1634188654015,1634188653745,1634188653570,0.0253,0,1,1
1007,1.1390673,1.09446133,1.14389322,1.11091691,-0.04943189,0.02815039,1634188654215,1634188653959,1634188653570,0.0253,0,1,1
1008,1.1390673,1.09446133,1.14395334,1.11091691,-0.04949201,0.02815039,1634188654308,1634188654072,1634188653570,0.0253,0,1,1
1009,1.13908726,1.09446133,1.14375294,1.11091691,-0.04929161,0.02817035,1634188654425,1634188654162,1634188653570,0.0254,2,1,1
1010,1.13914714,1.09446133,1.14375294,1.11091691,-0.04929161,0.02823023,1634188654621,1634188654344,1634188653570,0.0254,1,1,1
1011,1.1390673,1.09446133,1.14375294,1.11091691,-0.04929161,0.02815039,1634188655041,1634188654850,1634188654804,0.0253,1,1,1
1012,1.1391172,1.09446133,1.14384312,1.11091691,-0.04938179,0.02820029,1634188656289,1634188655975,1634188654804,0.0254,2,1,1
1013,1.1391172,1.09446133,1.14379302,1.11091691,-0.04933169,0.02820029,1634188656343,1634188656148,1634188654804,0.0254,0,1,1
1014,1.1391172,1.09446133,1.14384312,1.11091691,-0.04938179,0.02820029,1634188656517,1634188656284,1634188654804,0.0254,0,1,1
1015,1.1391172,1.09446133,1.14380304,1.11091691,-0.04934171,0.02820029,1634188656614,1634188656350,1634188656500,0.0254,0,1,1
1016,1.1388677,1.09445135,1.14359262,1.09880179,-0.04914127,0.04006591,1634188742247,1634188739837,1634188742132,0.0365,0,1,0
1017,1.13890762,1.09445135,1.14359262,1.09880179,-0.04914127,0.04010583,1634188743044,1634188742467,1634188742765,0.0365,1,1,1
1018,1.1388677,1.09445135,1.14356256,1.09880179,-0.04911121,0.04006591,1634188743235,1634188743040,1634188742765,0.0365,2,1,1
1019,1.13887768,1.09445135,1.14346236,1.09880179,-0.04901101,0.04007589,1634188743711,1634188743455,1634188742765,0.0365,2,1,1
1020,1.13888766,1.09445135,1.14346236,1.09880179,-0.04901101,0.04008587,1634188748882,1634188748666,1634188748627,0.0365,1,1,1
1021,1.13887768,1.09445135,1.14346236,1.09880179,-0.04901101,0.04007589,1634188750120,1634188749836,1634188749599,0.0365,1,1,1
1022,1.1388677,1.09445135,1.14346236,1.09880179,-0.04901101,0.04006591,1634188750314,1634188750065,1634188749599,0.0365,1,1,1
1023,1.1388677,1.09445135,1.14345234,1.09880179,-0.04900099,0.04006591,1634188750423,1634188750159,1634188749599,0.0365,0,1,1
1024,1.13869804,1.09445135,1.14340224,1.09880179,-0.04895089,0.03989625,1634188750609,1634188750365,1634188750422,0.0363,2,1,1
1025,1.13869804,1.09445135,1.14346236,1.09880179,-0.04901101,0.03989625,1634188750707,1634188750461,1634188750422,0.0363,0,1,1
1026,1.13868806,1.09445135,1.14345234,1.09880179,-0.04900099,0.03988627,1634188750827,1634188750564,1634188750617,0.0363,2,1,1
1027,1.13868806,1.09445135,1.14346236,1.09880179,-0.04901101,0.03988627,1634188750923,1634188750650,1634188750617,0.0363,0,1,1
1028,1.13857828,1.09445135,1.14346236,1.09880179,-0.04901101,0.03977649,1634188751007,1634188750755,1634188750821,0.0362,1,1,1
1029,1.13863816,1.09445135,1.14340224,1.09880179,-0.04895089,0.03983637,1634188751125,1634188750852,1634188750821,0.0363,2,1,1
1030,1.13863816,1.09445135,1.14346236,1.09880179,-0.04901101,0.03983637,1634188751222,1634188750959,1634188750821,0.0363,0,1,1
1031,1.1385683,1.09445135,1.14346236,1.09880179,-0.04901101,0.03976651,1634188751309,1634188751063,1634188750821,0.0362,1,1,1
1032,1.1385683,1.09445135,1.14317178,1.09880179,-0.04872043,0.03976651,1634188751423,1634188751159,1634188750821,0.0362,0,1,1
1033,1.1385683,1.09445135,1.14314172,1.09880179,-0.04869037,0.03976651,1634188752010,1634188751764,1634188750821,0.0362,0,1,1
1034,1.1385683,1.09445135,1.14316176,1.09880179,-0.04871041,0.03976651,1634188752141,1634188751833,1634188750821,0.0362,0,1,1
1035,1.1384685,1.09445135,1.14316176,1.09880179,-0.04871041,0.03966671,1634188753386,1634188753151,1634188752986,0.0361,1,1,1
1036,1.1384685,1.09445135,1.14314172,1.09880179,-0.04869037,0.03966671,1634188753465,1634188753249,1634188752986,0.0361,0,1,1
1037,1.1384685,1.09445135,1.14316176,1.09880179,-0.04871041,0.03966671,1634188754313,1634188754039,1634188753527,0.0361,0,1,1
1038,1.1384685,1.09445135,1.1431317,1.09880179,-0.04868035,0.03966671,1634188754721,1634188754376,1634188753527,0.0361,0,1,1
1039,1.1384685,1.09445135,1.14312168,1.09880179,-0.04867033,0.03966671,1634188757217,1634188756964,1634188755742,0.0361,0,1,1
1040,1.1384685,1.09445135,1.14311166,1.09880179,-0.04866031,0.03966671,1634188757308,1634188757038,1634188755742,0.0361,0,1,1
1041,1.1384685,1.09445135,1.14310164,1.09880179,-0.04865029,0.03966671,1634188758819,1634188758559,1634188755742,0.0361,0,1,1
1042,1.1384685,1.09445135,1.14304152,1.09880179,-0.04859017,0.03966671,1634188759341,1634188758985,1634188755742,0.0361,0,1,1
1043,1.13844854,1.09445135,1.14304152,1.09880179,-0.04859017,0.03964675,1634188759818,1634188759531,1634188755742,0.0361,1,1,1
1044,1.13844854,1.09445135,1.14302148,1.09880179,-0.04857013,0.03964675,1634188759911,1634188759665,1634188755742,0.0361,0,1,1
1045,1.13844854,1.09445135,1.1430315,1.09880179,-0.04858015,0.03964675,1634188761721,1634188761467,1634188755742,0.0361,0,1,1
1046,1.13845852,1.09445135,1.1430315,1.09880179,-0.04858015,0.03965673,1634188761812,1634188761555,1634188755742,0.0361,1,1,1
1047,1.13855832,1.09445135,1.1431317,1.09880179,-0.04868035,0.03975653,1634188765100,1634188764845,1634188763536,0.0362,2,1,1
1048,1.13845852,1.09445135,1.1431317,1.09880179,-0.04868035,0.03965673,1634188765317,1634188765004,1634188765040,0.0361,1,1,1
1049,1.13854834,1.09445135,1.1431317,1.09880179,-0.04868035,0.03974655,1634188765417,1634188765165,1634188765296,0.0362,1,1,1
1050,1.13855832,1.09445135,1.1431317,1.09880179,-0.04868035,0.03975653,1634188765519,1634188765269,1634188765296,0.0362,1,1,1
