Number,bayGate,bayBith,sellGate,sellBith,diffSell,diffBay,timeServer,timeGate,timeBith,percentBonus,bayOrSellGate,bayOrSellBith,init
1302,1.13715114,1.12626558,1.14180906,1.13441625,-0.01554348,0.00273489,1634189333618,1634189333282,1634189332705,0.0024,1,1,1
1303,1.13724096,1.12626558,1.14181908,1.13441625,-0.0155535,0.00282471,1634189333924,1634189333648,1634189332705,0.0025,2,1,1
1304,1.13724096,1.12626558,1.14205956,1.13441625,-0.01579398,0.00282471,1634189334019,1634189333764,1634189332705,0.0025,0,1,1
1305,1.13715114,1.12626558,1.14213972,1.13441625,-0.01587414,0.00273489,1634189334117,1634189333853,1634189332705,0.0024,2,1,1
1306,1.13715114,1.12626558,1.14226998,1.13441625,-0.0160044,0.00273489,1634189334624,1634189334353,1634189332705,0.0024,0,1,1
1307,1.13734076,1.12626558,1.14226998,1.13441625,-0.0160044,0.00292451,1634189334807,1634189334561,1634189332705,0.0026,1,1,1
1308,1.13728088,1.12626558,1.14226998,1.13441625,-0.0160044,0.00286463,1634189334920,1634189334648,1634189332705,0.0025,1,1,1
1309,1.1375703,1.12626558,1.1422299,1.13441625,-0.01596432,0.00315405,1634189335126,1634189334813,1634189332705,0.0028,2,1,1
1310,1.1375703,1.12627556,1.1422299,1.13441625,-0.01595434,0.00315405,1634189336037,1634189334813,1634189335928,0.0028,2,1,0
1311,1.1375703,1.12627556,1.14218982,1.13441625,-0.01591426,0.00315405,1634189336534,1634189336169,1634189336174,0.0028,0,1,1
1312,1.1376202,1.12627556,1.14218982,1.13441625,-0.01591426,0.00320395,1634189337204,1634189336955,1634189336891,0.0028,1,1,1
1313,1.1376202,1.12627556,1.1422299,1.13441625,-0.01595434,0.00320395,1634189337813,1634189337561,1634189336891,0.0028,0,1,1
1314,1.1375703,1.12627556,1.1422299,1.13441625,-0.01595434,0.00315405,1634189338514,1634189338192,1634189337919,0.0028,1,1,1
1315,1.13701142,1.12627556,1.1416287,1.13441625,-0.01535314,0.00259517,1634189338614,1634189338357,1634189337919,0.0023,2,1,1
1316,1.13706132,1.12627556,1.1416287,1.13441625,-0.01535314,0.00264507,1634189338713,1634189338457,1634189337919,0.0023,1,1,1
1317,1.13706132,1.12627556,1.14230004,1.13441625,-0.01602448,0.00264507,1634189338807,1634189338560,1634189337919,0.0023,0,1,1
1318,1.13706132,1.12627556,1.14220986,1.13441625,-0.0159343,0.00264507,1634189338918,1634189338669,1634189337919,0.0023,0,1,1
1319,1.13711122,1.12627556,1.14220986,1.13441625,-0.0159343,0.00269497,1634189339314,1634189339028,1634189337919,0.0024,1,1,1
1320,1.13735074,1.12627556,1.14214974,1.13441625,-0.01587418,0.00293449,1634189339812,1634189339544,1634189337919,0.0026,2,1,1
1321,1.13735074,1.12627556,1.14220986,1.13441625,-0.0159343,0.00293449,1634189339918,1634189339594,1634189337919,0.0026,0,1,1
1322,1.13748048,1.12627556,1.1421297,1.13441625,-0.01585414,0.00306423,1634189340010,1634189339752,1634189337919,0.0027,2,1,1
1323,1.13748048,1.12627556,1.14220986,1.13441625,-0.0159343,0.00306423,1634189340210,1634189339950,1634189337919,0.0027,0,1,1
1324,1.13748048,1.12627556,1.14219984,1.13441625,-0.01592428,0.00306423,1634189340920,1634189340638,1634189340702,0.0027,0,1,1
1325,1.13755034,1.12627556,1.14219984,1.13441625,-0.01592428,0.00313409,1634189341316,1634189341062,1634189340702,0.0028,1,1,1
1326,1.13755034,1.12627556,1.14219884,1.13441625,-0.01592328,0.00313409,1634189343215,1634189342969,1634189342911,0.0028,0,1,1
1327,1.13748048,1.12627556,1.14213972,1.13441625,-0.01586416,0.00306423,1634189343322,1634189343050,1634189342911,0.0027,2,1,1
1328,1.13748048,1.12627556,1.14220986,1.13441625,-0.0159343,0.00306423,1634189343413,1634189343128,1634189342911,0.0027,0,1,1
1329,1.13753038,1.12627556,1.14220986,1.13441625,-0.0159343,0.00311413,1634189344718,1634189344465,1634189342911,0.0027,1,1,1
1330,1.13753038,1.12627556,1.14220986,1.13440624,-0.0159343,0.00312414,1634189344935,1634189344465,1634189344824,0.0028,1,0,0
1331,1.13774994,1.12627556,1.14232008,1.13440624,-0.01604452,0.0033437,1634189345316,1634189345065,1634189344824,0.0029,2,0,1
